job_uuid,client_uuid,driver_uuid,vehicle_uuid,client_device,is_subs_trip,request_type,status,request_date_time,request time,begintrip_date_time,begin trip time,dropoff_date_time,dropoff time,trip_distance_miles,payment_method,pickup_walking_distance_meters,vehicle_capacity,trip_date
2127,2568,209,7,android,FALSE,MICROSCHEDULING,completed,08-02-2021 00:00,18:43:00,08-02-2021 00:00,19:25:00,08-02-2021 00:00,19:54:00,5.143272,cash,325.22488,14,08-02-2021
2128,1967,,,clientlite,FALSE,PRESCHEDULING,rider_canceled,17-02-2021 00:00,08:47:00,,,,,0,cash,,,17-02-2021
2129,5406,451,299,iphone,TRUE,PRESCHEDULING,completed,01-02-2021 00:00,07:46:00,01-02-2021 00:00,07:45:00,01-02-2021 00:00,08:16:00,8.57262,MasterCard,472.38834,14,01-02-2021
2130,1412,63,144,iphone,TRUE,PRESCHEDULING,completed,16-02-2021 00:00,07:32:00,16-02-2021 00:00,07:33:00,16-02-2021 00:00,08:13:00,8.168973,cash,920.71716,14,16-02-2021
2131,5761,389,417,clientlite,TRUE,PRESCHEDULING,completed,14-02-2021 00:00,08:49:00,14-02-2021 00:00,08:52:00,14-02-2021 00:00,09:21:00,7.8367248,cash,0,14,14-02-2021
2132,2780,169,314,iphone,TRUE,PRESCHEDULING,completed,08-02-2021 00:00,16:27:00,08-02-2021 00:00,16:26:00,08-02-2021 00:00,18:26:00,43.172153,cash,215.23819,15,08-02-2021
2133,4856,283,38,clientlite,FALSE,MICROSCHEDULING,rider_canceled,28-02-2021 00:00,18:44:00,,,,,0,Visa,392.99826,15,28-02-2021
2134,5645,429,459,android,FALSE,MICROSCHEDULING,completed,16-02-2021 00:00,16:44:00,16-02-2021 00:00,17:05:00,16-02-2021 00:00,18:14:00,20.778332,stored_value,511.78708,15,16-02-2021
2135,3477,,,android,FALSE,PRESCHEDULING,rider_canceled,22-02-2021 00:00,16:36:00,,,,,0,stored_value,,,22-02-2021
2136,391,148,468,iphone,TRUE,PRESCHEDULING,completed,18-02-2021 00:00,07:39:00,18-02-2021 00:00,07:42:00,18-02-2021 00:00,08:57:00,26.356367,cash,408.31268,14,18-02-2021
2137,533,10,246,android,FALSE,MICROSCHEDULING,completed,02-02-2021 00:00,06:47:00,02-02-2021 00:00,07:19:00,02-02-2021 00:00,08:20:00,30.407635,cash,89.458916,15,02-02-2021
2138,4749,,,android,FALSE,PRESCHEDULING,rider_canceled,28-02-2021 00:00,09:54:00,,,,,0,cash,0,,28-02-2021
2139,2652,329,77,android,FALSE,PRESCHEDULING,completed,01-02-2021 00:00,07:02:00,01-02-2021 00:00,07:02:00,01-02-2021 00:00,08:31:00,24.589643,Visa,1035.2417,15,01-02-2021
2140,4807,,,android,FALSE,PRESCHEDULING,rider_canceled,21-02-2021 00:00,15:16:00,,,,,0,MasterCard,,,21-02-2021
2141,2952,,,iphone,FALSE,PRESCHEDULING,rider_canceled,01-02-2021 00:00,17:08:00,,,,,0,cash,,,01-02-2021
2142,4650,102,465,android,TRUE,MICROSCHEDULING,completed,02-02-2021 00:00,18:56:00,02-02-2021 00:00,19:12:00,02-02-2021 00:00,19:59:00,11.267829,cash,98.4027,15,02-02-2021
2143,724,60,369,clientlite,TRUE,PRESCHEDULING,completed,17-02-2021 00:00,09:35:00,17-02-2021 00:00,09:29:00,17-02-2021 00:00,10:02:00,11.337689,cash,102.73215,11,17-02-2021
2144,1760,,,android,FALSE,PRESCHEDULING,rider_canceled,07-02-2021 00:00,07:43:00,,,,,0,cash,,,07-02-2021
2145,2617,167,130,android,FALSE,MICROSCHEDULING,rider_canceled,22-02-2021 00:00,16:58:00,,,,,0,Visa,33.517662,15,22-02-2021
2146,5754,21,395,android,FALSE,PRESCHEDULING,completed,22-02-2021 00:00,08:40:00,22-02-2021 00:00,08:42:00,22-02-2021 00:00,09:16:00,14.255903,cash,0,15,22-02-2021
2147,658,360,332,iphone,FALSE,PRESCHEDULING,driver_canceled,15-02-2021 00:00,08:34:00,,,,,0,cash,1024.8816,15,15-02-2021
2148,2752,331,305,android,FALSE,PRESCHEDULING,completed,11-02-2021 00:00,15:44:00,11-02-2021 00:00,15:53:00,11-02-2021 00:00,17:34:00,36.441402,cash,0,15,11-02-2021
2149,5269,238,511,iphone,FALSE,PRESCHEDULING,completed,11-02-2021 00:00,18:21:00,11-02-2021 00:00,18:21:00,11-02-2021 00:00,19:03:00,14.793737,cash,497.1082,15,11-02-2021
2150,5529,285,253,clientlite,FALSE,MICROSCHEDULING,completed,25-02-2021 00:00,16:36:00,25-02-2021 00:00,16:43:00,25-02-2021 00:00,17:16:00,6.0548344,Visa,291.6101,15,25-02-2021
2151,4274,127,163,clientlite,TRUE,PRESCHEDULING,completed,24-02-2021 00:00,08:14:00,24-02-2021 00:00,08:25:00,24-02-2021 00:00,10:12:00,31.321617,cash,516.61316,15,24-02-2021
2152,3956,77,437,iphone,TRUE,PRESCHEDULING,completed,15-02-2021 00:00,06:52:00,15-02-2021 00:00,06:57:00,15-02-2021 00:00,07:31:00,12.421883,cash,0,15,15-02-2021
2153,257,,,clientlite,FALSE,PRESCHEDULING,rider_canceled,05-02-2021 00:00,14:14:00,,,,,0,cash,,,05-02-2021
2154,5557,80,40,clientlite,TRUE,PRESCHEDULING,completed,04-02-2021 00:00,15:48:00,04-02-2021 00:00,15:48:00,04-02-2021 00:00,16:21:00,17.252405,cash,0,14,04-02-2021
2155,3743,169,314,clientlite,TRUE,PRESCHEDULING,completed,18-02-2021 00:00,16:29:00,18-02-2021 00:00,16:27:00,18-02-2021 00:00,17:36:00,34.134533,cash,88.55954,15,18-02-2021
2156,5083,211,294,clientlite,TRUE,PRESCHEDULING,completed,10-02-2021 00:00,18:40:00,10-02-2021 00:00,18:46:00,10-02-2021 00:00,19:48:00,31.896414,cash,0,15,10-02-2021
2157,4472,,,clientlite,FALSE,PRESCHEDULING,rider_canceled,18-02-2021 00:00,02:27:00,,,,,0,cash,,,18-02-2021
2158,2512,103,243,clientlite,FALSE,PRESCHEDULING,rider_canceled,03-02-2021 00:00,17:25:00,,,,,0,Visa,0,15,03-02-2021
2159,3924,94,516,android,TRUE,MICROSCHEDULING,completed,28-02-2021 00:00,17:06:00,28-02-2021 00:00,17:32:00,28-02-2021 00:00,19:19:00,25.95513,MasterCard,78.88885,15,28-02-2021
2160,458,9,364,iphone,TRUE,PRESCHEDULING,completed,23-02-2021 00:00,07:32:00,23-02-2021 00:00,07:32:00,23-02-2021 00:00,08:28:00,27.383097,MasterCard,739.20905,15,23-02-2021
2161,1082,210,15,iphone,FALSE,MICROSCHEDULING,completed,07-02-2021 00:00,17:02:00,07-02-2021 00:00,17:21:00,07-02-2021 00:00,18:22:00,14.696128,stored_value,151.20824,14,07-02-2021
2162,541,285,253,clientlite,TRUE,MICROSCHEDULING,completed,08-02-2021 00:00,09:28:00,08-02-2021 00:00,09:44:00,08-02-2021 00:00,10:45:00,16.672968,cash,188.27911,15,08-02-2021
2163,2344,,,android,FALSE,PRESCHEDULING,rider_canceled,19-02-2021 00:00,09:57:00,,,,,0,MasterCard,,,19-02-2021
2164,3159,369,88,android,FALSE,MICROSCHEDULING,completed,11-02-2021 00:00,15:14:00,11-02-2021 00:00,15:49:00,11-02-2021 00:00,17:04:00,26.787825,MasterCard,150.50737,14,11-02-2021
2165,4274,172,211,clientlite,FALSE,PRESCHEDULING,driver_canceled,24-02-2021 00:00,18:38:00,,,,,0,cash,165.02484,15,24-02-2021
2166,1119,331,305,iphone,FALSE,PRESCHEDULING,completed,17-02-2021 00:00,06:54:00,17-02-2021 00:00,06:56:00,17-02-2021 00:00,07:33:00,16.805986,cash,1769.2789,15,17-02-2021
2167,3318,330,165,iphone,TRUE,PRESCHEDULING,completed,18-02-2021 00:00,08:10:00,18-02-2021 00:00,08:10:00,18-02-2021 00:00,09:24:00,41.40863,MasterCard,48.938244,15,18-02-2021
2168,2338,115,376,android,FALSE,PRESCHEDULING,driver_canceled,21-02-2021 00:00,07:28:00,,,,,0,cash,0,15,21-02-2021
2169,960,357,224,android,TRUE,PRESCHEDULING,completed,18-02-2021 00:00,07:43:00,18-02-2021 00:00,07:47:00,18-02-2021 00:00,08:52:00,33.350834,cash,0,14,18-02-2021
2170,1220,344,186,clientlite,FALSE,PRESCHEDULING,rider_canceled,09-02-2021 00:00,17:13:00,,,,,0,cash,0,15,09-02-2021
2171,1925,201,11,clientlite,TRUE,PRESCHEDULING,completed,16-02-2021 00:00,08:18:00,16-02-2021 00:00,08:17:00,16-02-2021 00:00,08:56:00,27.780203,cash,0,15,16-02-2021
2172,4478,,,iphone,FALSE,PRESCHEDULING,rider_canceled,21-02-2021 00:00,01:46:00,,,,,0,cash,,,20-02-2021
2173,4393,198,177,iphone,FALSE,PRESCHEDULING,driver_canceled,07-02-2021 00:00,07:15:00,,,,,0,cash,0,14,07-02-2021
2174,3939,231,357,clientlite,FALSE,PRESCHEDULING,completed,07-02-2021 00:00,18:16:00,07-02-2021 00:00,18:20:00,07-02-2021 00:00,19:50:00,25.225403,cash,534.83014,15,07-02-2021
2175,1755,,,iphone,FALSE,PRESCHEDULING,rider_canceled,23-02-2021 00:00,18:31:00,,,,,0,cash,,,23-02-2021
2176,3622,,,clientlite,FALSE,PRESCHEDULING,rider_canceled,08-02-2021 00:00,02:11:00,,,,,0,cash,,,08-02-2021
2177,4540,258,447,clientlite,FALSE,MICROSCHEDULING,rider_canceled,10-02-2021 00:00,08:08:00,,,,,0,cash,17.11458,15,10-02-2021
2178,4112,170,386,clientlite,TRUE,MICROSCHEDULING,completed,10-02-2021 00:00,18:07:00,10-02-2021 00:00,18:43:00,10-02-2021 00:00,19:12:00,12.900008,cash,655.3301,11,10-02-2021
2179,3679,273,403,iphone,FALSE,MICROSCHEDULING,driver_canceled,09-02-2021 00:00,15:35:00,,,,,0,cash,33.383224,15,09-02-2021
2180,2359,503,168,android,FALSE,PRESCHEDULING,rider_canceled,28-02-2021 00:00,06:43:00,,,,,0,cash,182.531,15,28-02-2021
2181,1285,488,487,clientlite,TRUE,PRESCHEDULING,completed,07-02-2021 00:00,18:12:00,07-02-2021 00:00,18:14:00,07-02-2021 00:00,18:42:00,11.672588,MasterCard,120.92543,15,07-02-2021
2182,2471,378,146,android,FALSE,PRESCHEDULING,completed,08-02-2021 00:00,08:23:00,08-02-2021 00:00,08:31:00,08-02-2021 00:00,09:14:00,6.315565,cash,0,15,08-02-2021
2183,1855,511,50,iphone,FALSE,PRESCHEDULING,rider_canceled,28-02-2021 00:00,09:09:00,,,,,0,cash,998.6642,15,28-02-2021
2184,1967,115,376,clientlite,TRUE,PRESCHEDULING,completed,17-02-2021 00:00,18:04:00,17-02-2021 00:00,18:01:00,17-02-2021 00:00,18:45:00,15.072271,cash,342.17,15,17-02-2021
2185,2583,,,clientlite,FALSE,PRESCHEDULING,rider_canceled,14-02-2021 00:00,13:12:00,,,,,0,cash,,,14-02-2021
2186,5857,359,377,iphone,FALSE,MICROSCHEDULING,completed,15-02-2021 00:00,17:10:00,15-02-2021 00:00,17:50:00,15-02-2021 00:00,18:42:00,14.047763,MasterCard,715.45746,14,15-02-2021
2187,2709,,,iphone,FALSE,PRESCHEDULING,rider_canceled,10-02-2021 00:00,09:12:00,,,,,0,MasterCard,,,10-02-2021
2188,1611,454,370,iphone,FALSE,PRESCHEDULING,rider_canceled,14-02-2021 00:00,08:48:00,,,,,0,MasterCard,460.9872,14,14-02-2021
2189,2548,190,171,clientlite,TRUE,PRESCHEDULING,completed,02-02-2021 00:00,07:10:00,02-02-2021 00:00,07:12:00,02-02-2021 00:00,07:45:00,12.317961,cash,356.13272,14,02-02-2021
2190,4417,496,496,iphone,TRUE,MICROSCHEDULING,completed,15-02-2021 00:00,07:47:00,15-02-2021 00:00,08:00:00,15-02-2021 00:00,08:49:00,25.496048,cash,462.33414,14,15-02-2021
2191,1659,371,483,clientlite,TRUE,PRESCHEDULING,completed,16-02-2021 00:00,18:25:00,16-02-2021 00:00,18:20:00,16-02-2021 00:00,19:24:00,21.40127,cash,698.9907,15,16-02-2021
2192,1375,21,395,android,TRUE,PRESCHEDULING,completed,23-02-2021 00:00,17:00:00,23-02-2021 00:00,16:59:00,23-02-2021 00:00,18:15:00,15.487145,cash,145.73102,15,23-02-2021
2193,3188,167,130,clientlite,FALSE,PRESCHEDULING,rider_canceled,14-02-2021 00:00,17:41:00,14-02-2021 00:00,17:39:00,,,17.126081,cash,587.9902,15,14-02-2021
2194,4350,,,iphone,FALSE,PRESCHEDULING,rider_canceled,16-02-2021 00:00,20:34:00,,,,,0,cash,,,16-02-2021
2195,1700,5,137,iphone,TRUE,PRESCHEDULING,completed,09-02-2021 00:00,18:03:00,09-02-2021 00:00,18:11:00,09-02-2021 00:00,19:19:00,22.840181,cash,45.465984,15,09-02-2021
2196,625,159,261,clientlite,TRUE,PRESCHEDULING,completed,21-02-2021 00:00,09:35:00,21-02-2021 00:00,09:39:00,21-02-2021 00:00,10:16:00,13.655025,cash,233.27208,15,21-02-2021
2197,3674,349,13,clientlite,TRUE,MICROSCHEDULING,completed,11-02-2021 00:00,15:22:00,11-02-2021 00:00,15:37:00,11-02-2021 00:00,16:11:00,17.668776,cash,120.92543,15,11-02-2021
2198,3694,55,402,unknown,FALSE,PRESCHEDULING,driver_canceled,22-02-2021 00:00,07:37:00,,,,,0,derivative,0,23,22-02-2021
2199,3759,296,320,android,FALSE,MICROSCHEDULING,rider_canceled,17-02-2021 00:00,09:54:00,,,,,0,cash,776.43353,15,17-02-2021
2200,4077,421,353,android,TRUE,PRESCHEDULING,completed,15-02-2021 00:00,09:42:00,15-02-2021 00:00,09:41:00,15-02-2021 00:00,10:49:00,17.713417,stored_value,0,15,15-02-2021
2201,3280,,,android,FALSE,PRESCHEDULING,rider_canceled,09-02-2021 00:00,08:59:00,,,,,0,cash,0,,09-02-2021
2202,5374,473,160,iphone,FALSE,MICROSCHEDULING,driver_canceled,25-02-2021 00:00,16:42:00,,,,,0,cash,278.48145,14,25-02-2021
2203,889,463,359,android,FALSE,PRESCHEDULING,completed,04-02-2021 00:00,16:40:00,04-02-2021 00:00,16:47:00,04-02-2021 00:00,18:07:00,27.234451,cash,74.47574,15,04-02-2021
2204,2842,209,7,clientlite,TRUE,PRESCHEDULING,completed,08-02-2021 00:00,16:38:00,08-02-2021 00:00,16:38:00,08-02-2021 00:00,17:24:00,17.419224,cash,0,14,08-02-2021
2205,3011,,,android,FALSE,PRESCHEDULING,rider_canceled,27-02-2021 00:00,21:06:00,,,,,0,cash,,,27-02-2021
2206,2146,456,347,iphone,FALSE,MICROSCHEDULING,completed,14-02-2021 00:00,08:03:00,14-02-2021 00:00,08:13:00,14-02-2021 00:00,08:48:00,10.946875,cash,305.75406,14,14-02-2021
2207,4334,200,46,clientlite,TRUE,PRESCHEDULING,completed,23-02-2021 00:00,16:46:00,23-02-2021 00:00,16:46:00,23-02-2021 00:00,17:48:00,16.653656,MasterCard,357.26944,14,23-02-2021
2208,5507,394,82,iphone,TRUE,PRESCHEDULING,completed,08-02-2021 00:00,16:39:00,08-02-2021 00:00,16:39:00,08-02-2021 00:00,18:06:00,15.732784,cash,222.51729,15,08-02-2021
2209,2317,49,185,iphone,FALSE,MICROSCHEDULING,completed,21-02-2021 00:00,17:18:00,21-02-2021 00:00,18:01:00,21-02-2021 00:00,19:24:00,18.547445,cash,998.2899,14,21-02-2021
2210,3790,420,56,iphone,FALSE,PRESCHEDULING,completed,10-02-2021 00:00,17:35:00,10-02-2021 00:00,17:35:00,10-02-2021 00:00,18:26:00,28.921541,cash,2304.5737,15,10-02-2021
2211,4807,95,190,android,TRUE,MICROSCHEDULING,completed,09-02-2021 00:00,15:54:00,09-02-2021 00:00,16:12:00,09-02-2021 00:00,17:21:00,11.723345,MasterCard,539.0516,15,09-02-2021
2212,2171,443,391,clientlite,TRUE,PRESCHEDULING,completed,16-02-2021 00:00,07:55:00,16-02-2021 00:00,08:00:00,16-02-2021 00:00,08:22:00,6.204327,cash,0,15,16-02-2021
2213,863,,,android,FALSE,PRESCHEDULING,rider_canceled,01-02-2021 00:00,20:22:00,,,,,0,cash,,,01-02-2021
2214,573,,,clientlite,FALSE,PRESCHEDULING,rider_canceled,17-02-2021 00:00,10:18:00,,,,,0,MasterCard,,,17-02-2021
2215,4875,350,257,iphone,FALSE,PRESCHEDULING,rider_canceled,16-02-2021 00:00,07:40:00,,,,,0,MasterCard,85.662704,15,16-02-2021
2216,4732,285,253,iphone,FALSE,MICROSCHEDULING,completed,28-02-2021 00:00,18:16:00,28-02-2021 00:00,18:38:00,28-02-2021 00:00,19:34:00,9.599333,cash,224.44583,15,28-02-2021
2217,5041,493,328,android,TRUE,MICROSCHEDULING,completed,02-02-2021 00:00,16:48:00,02-02-2021 00:00,17:04:00,02-02-2021 00:00,17:31:00,3.9443634,cash,278.40707,14,02-02-2021
2218,2734,231,357,clientlite,TRUE,PRESCHEDULING,completed,01-02-2021 00:00,17:16:00,01-02-2021 00:00,17:17:00,01-02-2021 00:00,19:02:00,18.41049,MasterCard,106.48506,15,01-02-2021
2219,2542,507,274,clientlite,TRUE,PRESCHEDULING,completed,15-02-2021 00:00,08:19:00,15-02-2021 00:00,08:21:00,15-02-2021 00:00,08:50:00,10.465538,cash,0,15,15-02-2021
2220,2883,151,223,android,FALSE,PRESCHEDULING,completed,09-02-2021 00:00,10:04:00,09-02-2021 00:00,10:06:00,09-02-2021 00:00,10:50:00,10.5839405,stored_value,0,15,09-02-2021
2221,339,159,139,clientlite,TRUE,PRESCHEDULING,completed,23-02-2021 00:00,06:47:00,23-02-2021 00:00,06:48:00,23-02-2021 00:00,07:35:00,17.591572,stored_value,507.1046,15,23-02-2021
2222,3867,,,iphone,FALSE,PRESCHEDULING,rider_canceled,27-02-2021 00:00,17:35:00,,,,,0,MasterCard,,,27-02-2021
2223,4663,269,32,iphone,FALSE,MICROSCHEDULING,completed,24-02-2021 00:00,06:51:00,24-02-2021 00:00,07:39:00,24-02-2021 00:00,08:18:00,15.194058,MasterCard,353.102,15,24-02-2021
2224,3191,43,319,clientlite,TRUE,MICROSCHEDULING,completed,10-02-2021 00:00,07:20:00,10-02-2021 00:00,07:25:00,10-02-2021 00:00,08:20:00,23.887527,cash,62.71399,14,10-02-2021
2225,1654,285,253,clientlite,TRUE,PRESCHEDULING,completed,10-02-2021 00:00,17:35:00,10-02-2021 00:00,17:33:00,10-02-2021 00:00,19:02:00,17.23705,cash,480.65225,15,10-02-2021
2226,1334,421,353,clientlite,TRUE,PRESCHEDULING,completed,28-02-2021 00:00,08:22:00,28-02-2021 00:00,08:23:00,28-02-2021 00:00,09:42:00,23.818909,cash,101.035164,15,28-02-2021
2227,3107,266,225,iphone,TRUE,PRESCHEDULING,completed,24-02-2021 00:00,16:20:00,24-02-2021 00:00,16:19:00,24-02-2021 00:00,17:14:00,19.65331,cash,0,14,24-02-2021
2228,5332,30,234,clientlite,TRUE,PRESCHEDULING,completed,09-02-2021 00:00,06:55:00,09-02-2021 00:00,06:56:00,09-02-2021 00:00,07:36:00,15.623717,cash,228.3724,15,09-02-2021
2229,2887,450,103,iphone,TRUE,MICROSCHEDULING,completed,09-02-2021 00:00,10:18:00,09-02-2021 00:00,10:35:00,09-02-2021 00:00,11:01:00,13.819032,cash,0,14,09-02-2021
2230,491,452,278,iphone,TRUE,PRESCHEDULING,completed,01-02-2021 00:00,06:56:00,01-02-2021 00:00,06:55:00,01-02-2021 00:00,08:23:00,26.919458,cash,448.1944,15,01-02-2021
2231,1588,92,394,iphone,FALSE,PRESCHEDULING,rider_canceled,02-02-2021 00:00,18:31:00,,,,,0,cash,857.9764,14,02-02-2021
2232,3042,505,279,clientlite,TRUE,PRESCHEDULING,completed,23-02-2021 00:00,08:50:00,23-02-2021 00:00,08:50:00,23-02-2021 00:00,09:58:00,31.094149,cash,547.4974,15,23-02-2021
2233,4135,71,300,android,FALSE,MICROSCHEDULING,completed,02-02-2021 00:00,17:10:00,02-02-2021 00:00,17:20:00,02-02-2021 00:00,18:23:00,10.426765,cash,140.47726,14,02-02-2021
2234,2559,24,306,android,TRUE,PRESCHEDULING,completed,09-02-2021 00:00,08:10:00,09-02-2021 00:00,08:14:00,09-02-2021 00:00,09:13:00,24.056843,cash,208.9639,15,09-02-2021
2235,4919,471,453,iphone,FALSE,MICROSCHEDULING,rider_canceled,23-02-2021 00:00,15:02:00,,,,,0,Visa,656.2783,14,23-02-2021
2236,2482,82,151,android,FALSE,PRESCHEDULING,completed,03-02-2021 00:00,09:41:00,03-02-2021 00:00,09:41:00,03-02-2021 00:00,10:03:00,9.616821,cash,0,15,03-02-2021
2237,5199,,,android,FALSE,PRESCHEDULING,rider_canceled,08-02-2021 00:00,12:38:00,,,,,0,cash,,,08-02-2021
2238,2724,,,android,FALSE,PRESCHEDULING,rider_canceled,28-02-2021 00:00,22:29:00,,,,,0,cash,,,28-02-2021
2239,3014,195,80,iphone,FALSE,PRESCHEDULING,completed,04-02-2021 00:00,07:35:00,04-02-2021 00:00,07:34:00,04-02-2021 00:00,08:30:00,32.36396,cash,90.57886,14,04-02-2021
2240,1176,466,426,android,TRUE,PRESCHEDULING,completed,04-02-2021 00:00,07:57:00,04-02-2021 00:00,07:58:00,04-02-2021 00:00,09:09:00,28.13024,cash,0,15,04-02-2021
2241,4079,10,246,android,FALSE,PRESCHEDULING,driver_canceled,14-02-2021 00:00,07:36:00,,,,,0,cash,203.2529,15,14-02-2021
2242,3006,500,111,android,FALSE,MICROSCHEDULING,completed,15-02-2021 00:00,16:59:00,15-02-2021 00:00,17:53:00,15-02-2021 00:00,18:42:00,9.860464,cash,538.02264,14,15-02-2021
2243,3462,409,3,iphone,FALSE,PRESCHEDULING,rider_canceled,28-02-2021 00:00,08:26:00,,,,,0,cash,926.884,14,28-02-2021
2244,3548,418,25,unknown,FALSE,PRESCHEDULING,completed,24-02-2021 00:00,07:02:00,24-02-2021 00:00,07:08:00,24-02-2021 00:00,07:51:00,27.239838,derivative,0,15,24-02-2021
2245,4975,507,274,clientlite,TRUE,PRESCHEDULING,completed,22-02-2021 00:00,08:19:00,22-02-2021 00:00,08:21:00,22-02-2021 00:00,08:48:00,9.193545,cash,0,15,22-02-2021
2246,3145,110,327,android,TRUE,PRESCHEDULING,completed,17-02-2021 00:00,17:18:00,17-02-2021 00:00,17:22:00,17-02-2021 00:00,18:31:00,12.378008,cash,147.13765,15,17-02-2021
2247,2712,283,38,clientlite,TRUE,PRESCHEDULING,completed,21-02-2021 00:00,17:24:00,21-02-2021 00:00,17:25:00,21-02-2021 00:00,18:46:00,23.596874,cash,163.74611,15,21-02-2021
2248,2685,146,288,iphone,FALSE,MICROSCHEDULING,completed,18-02-2021 00:00,08:56:00,18-02-2021 00:00,09:09:00,18-02-2021 00:00,10:05:00,19.329636,stored_value,88.489044,15,18-02-2021
2249,5297,81,193,android,FALSE,MICROSCHEDULING,completed,08-02-2021 00:00,17:07:00,08-02-2021 00:00,17:23:00,08-02-2021 00:00,18:27:00,14.799995,MasterCard,398.47562,14,08-02-2021
2250,4893,60,369,clientlite,FALSE,PRESCHEDULING,completed,15-02-2021 00:00,16:20:00,15-02-2021 00:00,16:19:00,15-02-2021 00:00,16:50:00,12.810934,Visa,212.35783,11,15-02-2021
2251,1604,373,129,iphone,FALSE,PRESCHEDULING,completed,02-02-2021 00:00,15:49:00,02-02-2021 00:00,15:55:00,02-02-2021 00:00,17:12:00,17.25118,cash,1280.8661,15,02-02-2021
2252,1017,124,220,clientlite,FALSE,PRESCHEDULING,completed,18-02-2021 00:00,15:58:00,18-02-2021 00:00,15:58:00,18-02-2021 00:00,16:25:00,12.339531,cash,697.7241,14,18-02-2021
2253,2142,358,463,iphone,FALSE,PRESCHEDULING,driver_canceled,03-02-2021 00:00,07:34:00,,,,,0,cash,209.99947,15,03-02-2021
2254,541,422,285,clientlite,TRUE,MICROSCHEDULING,completed,28-02-2021 00:00,07:53:00,28-02-2021 00:00,08:26:00,28-02-2021 00:00,09:51:00,16.818447,cash,29.39956,15,28-02-2021
2255,1888,133,441,clientlite,FALSE,PRESCHEDULING,rider_canceled,22-02-2021 00:00,07:29:00,,,,,0,cash,490.19235,15,22-02-2021
2256,5144,401,110,android,FALSE,MICROSCHEDULING,completed,24-02-2021 00:00,08:00:00,24-02-2021 00:00,08:12:00,24-02-2021 00:00,08:46:00,14.728612,cash,795.7597,14,24-02-2021
2257,759,392,89,clientlite,FALSE,ON_DEMAND,rider_canceled,28-02-2021 00:00,07:42:00,,,,,0,cash,,15,28-02-2021
2258,72,415,492,android,TRUE,PRESCHEDULING,completed,07-02-2021 00:00,08:43:00,07-02-2021 00:00,08:59:00,07-02-2021 00:00,10:29:00,35.475327,MasterCard,0,15,07-02-2021
2259,1326,380,99,iphone,FALSE,PRESCHEDULING,completed,08-02-2021 00:00,08:42:00,08-02-2021 00:00,08:43:00,08-02-2021 00:00,09:50:00,17.98033,cash,512.30994,15,08-02-2021
2260,329,82,151,android,FALSE,PRESCHEDULING,completed,01-02-2021 00:00,09:36:00,01-02-2021 00:00,09:41:00,01-02-2021 00:00,10:15:00,12.545158,cash,0,15,01-02-2021
2261,4229,371,483,iphone,FALSE,PRESCHEDULING,rider_canceled,25-02-2021 00:00,08:47:00,,,,,0,cash,0,15,25-02-2021
2262,81,295,64,clientlite,FALSE,PRESCHEDULING,completed,11-02-2021 00:00,09:06:00,11-02-2021 00:00,08:58:00,11-02-2021 00:00,09:51:00,14.601057,stored_value,977.30194,14,11-02-2021
2263,2181,463,359,clientlite,TRUE,PRESCHEDULING,completed,08-02-2021 00:00,06:39:00,08-02-2021 00:00,06:41:00,08-02-2021 00:00,07:43:00,32.533707,cash,0,15,08-02-2021
2264,151,,,clientlite,FALSE,PRESCHEDULING,rider_canceled,19-02-2021 00:00,18:02:00,,,,,0,cash,,,19-02-2021
2265,433,498,237,clientlite,TRUE,PRESCHEDULING,completed,18-02-2021 00:00,07:32:00,18-02-2021 00:00,07:33:00,18-02-2021 00:00,08:03:00,17.164854,cash,0,15,18-02-2021
2266,2282,,,android,FALSE,PRESCHEDULING,rider_canceled,14-02-2021 00:00,07:53:00,,,,,0,MasterCard,0,,14-02-2021
2267,3605,70,510,clientlite,TRUE,MICROSCHEDULING,completed,23-02-2021 00:00,18:04:00,23-02-2021 00:00,18:26:00,23-02-2021 00:00,19:24:00,17.713255,cash,716.0713,15,23-02-2021
2268,806,267,12,iphone,TRUE,PRESCHEDULING,completed,24-02-2021 00:00,10:10:00,24-02-2021 00:00,10:11:00,24-02-2021 00:00,10:52:00,10.320314,cash,367.51822,14,24-02-2021
2269,2992,,,android,FALSE,PRESCHEDULING,rider_canceled,11-02-2021 00:00,15:45:00,,,,,0,stored_value,,,11-02-2021
2270,2097,,,clientlite,FALSE,PRESCHEDULING,rider_canceled,22-02-2021 00:00,20:59:00,,,,,0,cash,,,22-02-2021
2271,2594,311,452,iphone,FALSE,MICROSCHEDULING,completed,21-02-2021 00:00,16:38:00,21-02-2021 00:00,17:09:00,21-02-2021 00:00,17:56:00,17.346804,cash,528.6547,15,21-02-2021
2272,301,,,android,FALSE,PRESCHEDULING,rider_canceled,23-02-2021 00:00,14:45:00,,,,,0,cash,,,23-02-2021
2273,3416,501,378,iphone,TRUE,PRESCHEDULING,completed,17-02-2021 00:00,08:21:00,17-02-2021 00:00,08:22:00,17-02-2021 00:00,09:18:00,22.09825,MasterCard,388.1291,15,17-02-2021
2274,5409,,,android,FALSE,PRESCHEDULING,rider_canceled,16-02-2021 00:00,00:19:00,,,,,0,cash,,,15-02-2021
